0	0	1
2	1	3
4	2	5
6	0	7
8	2	9
10	3	11
12	3	13
14	3	15
16	4	17
18	3	19
20	3	21
22	0	23
24	5	25
0	3	26
27	3	28
29	3	30
31	6	32
33	3	34
35	7	36
37	3	38
39	8	40
41	3	42
43	2	44
45	3	46
47	9	48
49	3	50
51	10	52
53	5	54
55	11	56
57	0	58
59	5	60
40	5	61
62	3	63
64	3	65
66	3	19
67	3	15
68	5	69
70	5	71
72	5	54
73	8	40
74	0	58
75	3	76
77	3	78
79	3	80
81	3	38
82	12	83
84	3	85
86	8	31
87	3	88
89	5	90
91	3	65
92	3	93
94	2	95
96	3	97
98	13	99
100	3	101
102	0	58
103	3	104
105	11	56
106	14	107
108	15	109
110	3	111
112	16	113
114	3	115
116	12	117
118	3	115
119	3	111
120	16	121
122	2	123
124	8	125
126	5	127
128	3	129
130	0	131
132	3	133
134	2	135
136	5	137
138	0	58
139	5	140
141	5	142
86	0	1
143	5	144
145	3	15
146	17	147
148	5	149
150	8	151
152	5	127
153	5	154
155	3	65
156	3	157
158	2	159
160	14	161
162	17	58
163	2	164
165	3	166
167	5	168
16	3	115
100	3	169
170	12	171
125	2	172
173	5	174
175	5	176
177	2	178
179	1	180
181	3	182
183	6	184
185	2	186
187	5	40
188	3	65
189	3	190
191	5	192
193	2	194
195	18	196
167	5	197
198	3	19
199	3	21
200	2	201
183	2	44
126	5	202
203	9	204
205	14	206
207	12	208
209	14	210
211	5	212
213	5	214
215	3	216
217	5	174
218	7	219
220	5	40
221	2	222
223	3	15
224	5	72
225	3	169
226	7	227
228	16	229
230	13	231
232	9	233
234	5	8
235	14	236
237	14	238
239	14	240
241	19	242
243	3	111
244	3	245
246	5	125
220	2	247
248	3	249
151	5	250
200	5	25
251	3	252
153	5	234
253	15	254
213	2	5
68	5	126
59	2	222
255	2	256
257	3	258
259	2	260
261	17	58
262	2	247
263	2	44
264	3	88
265	3	38
152	5	266
267	3	268
269	19	270
74	16	121
71	5	60
271	2	247
272	3	28
273	15	274
243	14	210
275	3	85
276	12	277
278	0	7
196	12	230
126	5	94
279	3	280
281	14	282
283	12	284
285	16	121
286	16	121
200	5	287
288	5	289
290	10	291
292	2	194
293	16	294
295	3	249
224	2	296
297	3	245
298	3	258
299	19	300
301	3	65
302	5	303
304	19	305
74	3	245
306	3	38
307	2	296
308	2	296
309	3	21
203	7	310
311	3	252
312	3	115
313	2	164
39	3	314
315	5	316
261	2	317
318	15	319
320	2	260
321	14	282
322	3	245
323	14	240
324	16	121
325	14	282
326	2	44
327	6	32
328	14	329
173	5	151
174	5	308
271	2	330
331	9	204
332	20	333
334	2	335
336	8	40
337	3	245
338	3	19
251	14	329
339	8	151
340	3	341
